Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  15:50:22 0.97  0.07  72.68  0.30  10.05  3.12  0  0  0  0 
23-Nov-2007  15:50:25 0.69  0.11  70.68  0.57  7.45  1.78  0  0  0  0 
23-Nov-2007  15:50:27 0.58  0.05  75.15  0.95  8.07 -3.76  0  0  0  0 
23-Nov-2007  15:50:33 0.67  0.05  72.62  0.74  12.76 -6.26  0  0  0  0 
23-Nov-2007  15:50:39 0.32  0.05  74.42  1.20  8.20 -3.87  0  0  0  0 
23-Nov-2007  15:50:43 0.42  0.11  72.98  1.63  7.37 -3.07  0  0  0  0 
23-Nov-2007  15:50:55 0.59  0.10  74.93  1.85  8.65 -4.55  0  0  1  0 
23-Nov-2007  15:50:56 0.71  0.10  75.20  0.93  8.14 -4.54  0  0  0  0 
23-Nov-2007  15:50:56 1.14  0.08  76.65  1.86  5.66 -2.65  0  1  0  0 
23-Nov-2007  15:50:57 0.88  0.06  75.80  2.50  6.80 -3.11  0  0  0  0 
23-Nov-2007  15:51:00 0.66  0.10  73.74  0.99  6.97 -2.71  0  0  0  0 
23-Nov-2007  15:51:03 0.67  0.14  70.89  1.07  8.07 -3.05  0  0  0  0 
23-Nov-2007  15:51:07 0.48  0.06  73.43  1.25  8.55 -3.66  0  0  0  0 
23-Nov-2007  15:51:08 0.34  0.10  73.35  2.09  8.30 -3.68  0  0  0  0 
23-Nov-2007  15:51:09 0.56  0.07  72.95  0.66  10.54 -4.74  0  0  0  0 
23-Nov-2007  15:51:09 0.98  0.09  74.99  0.15  16.12  6.09  0  0  0  0 
23-Nov-2007  15:51:19 0.57  0.07  71.80  1.38  8.89 -3.80  0  0  0  0 
23-Nov-2007  15:51:24 0.31  0.07  71.93  1.17  8.72 -3.85  0  0  0  0 
23-Nov-2007  15:51:27 0.42  0.08  73.38  2.21  9.31 -4.78  0  0  0  0 
23-Nov-2007  15:51:31 1.30  0.05  76.73  2.87  6.18 -2.66  0  1  0  1 
23-Nov-2007  15:51:32 0.60  0.06  79.09  0.44  8.85  4.21  0  0  1  1 
23-Nov-2007  15:51:34 0.47  0.09  75.72  1.92  7.54 -3.80  0  0  0  0 
23-Nov-2007  15:51:35 0.64  0.07  76.27  0.41  6.83  2.50  0  0  0  0 
23-Nov-2007  15:51:35 1.49  0.06  74.31  1.32  8.91 -4.72  0  0  0  0 
23-Nov-2007  15:51:36 0.54  0.08  72.42  0.86  10.02 -4.59  0  0  0  0 
23-Nov-2007  15:51:53 1.02  0.06  73.68  0.88  6.99 -2.62  0  0  0  0 
23-Nov-2007  15:51:56 0.75  0.11  72.11  2.38  9.21 -3.75  0  0  0  0 
23-Nov-2007  15:52:05 0.39  0.05  76.48  0.55  8.15  3.18  0  0  0  0 
