site,start,end,event
Ain,22/11/2007 14:11:00,22/11/2007 14:26:00,1
Ain,22/11/2007 14:56:00,22/11/2007 15:11:00,1
Ain,22/11/2007 16:11:00,22/11/2007 16:26:00,1
Ain,23/11/2007 06:56:44,23/11/2007 07:11:44,1
Ain,23/11/2007 07:56:44,23/11/2007 08:11:44,1
Ain,23/11/2007 08:57:01,23/11/2007 09:12:01,1
Ain,23/11/2007 09:11:43,23/11/2007 09:26:43,1
Ain,23/11/2007 09:56:46,23/11/2007 10:11:46,1
Ain,23/11/2007 10:56:52,23/11/2007 11:11:52,1
Ain,23/11/2007 11:56:44,23/11/2007 12:11:44,1
Ain,23/11/2007 12:56:46,23/11/2007 13:11:46,1
Ain,23/11/2007 13:26:46,23/11/2007 13:41:46,1
Ain,23/11/2007 13:56:44,23/11/2007 14:11:44,1
Ain,23/11/2007 14:56:47,23/11/2007 15:11:47,1
Ain,23/11/2007 15:50:22,23/11/2007 16:05:22,1
Ain,23/11/2007 16:05:21,23/11/2007 16:20:21,1
Ain,24/11/2007 06:52:06,24/11/2007 07:07:06,1
Ain,24/11/2007 08:51:00,24/11/2007 09:06:00,1
Ain,24/11/2007 10:50:30,24/11/2007 11:05:30,1
Ain,24/11/2007 12:51:03,24/11/2007 13:06:03,1
Ain,24/11/2007 14:51:40,24/11/2007 15:06:40,1
Ain,10/12/2007 06:50:00,10/12/2007 07:05:00,2
Ain,10/12/2007 08:50:00,10/12/2007 09:05:00,2
Ain,10/12/2007 10:49:59,10/12/2007 11:04:59,2
Ain,10/12/2007 12:50:12,10/12/2007 13:05:12,2
Ain,10/12/2007 14:49:46,10/12/2007 15:04:46,2
Ain,10/12/2007 15:49:59,10/12/2007 16:04:59,2
Ain,11/12/2007 06:49:53,11/12/2007 07:04:53,2
Ain,11/12/2007 08:49:52,11/12/2007 09:04:52,2
Ain,11/12/2007 10:49:54,11/12/2007 11:04:54,2
Ain,11/12/2007 12:52:49,11/12/2007 13:07:49,2
Ain,11/12/2007 14:50:12,11/12/2007 15:05:12,2
Ain,11/12/2007 16:05:17,11/12/2007 16:20:17,2
