site,start,end,event
Allier,23/11/2019 07:52:39,23/11/2019 17:20:34,1
Allier,24/11/2019 07:42:03,24/11/2019 17:33:53,1
Allier,25/11/2019 07:27:58,25/11/2019 17:32:14,1
Allier,26/11/2019 07:38:09,26/11/2019 17:27:33,1
Allier,27/11/2019 07:32:26,27/11/2019 17:21:55,1
Allier,28/11/2019 08:02:00,28/11/2019 17:19:19,1
Allier,15/12/2019 07:58:29,15/12/2019 17:24:09,2
Allier,16/12/2019 07:58:09,16/12/2019 16:50:21,2
Allier,21/12/2019 08:33:17,21/12/2019 17:13:01,3
Allier,22/12/2019 08:09:04,22/12/2019 17:27:16,3
Allier,23/12/2019 08:01:28,23/12/2019 17:33:07,3
Allier,24/12/2019 08:57:33,24/12/2019 17:36:56,3
Allier,25/12/2019 08:02:22,25/12/2019 17:32:29,3
Allier,26/12/2019 08:00:53,26/12/2019 17:25:26,3
Allier,27/12/2019 08:11:42,27/12/2019 17:26:44,3
Allier,28/12/2019 08:05:23,28/12/2019 17:31:57,3
Allier,29/12/2019 07:59:43,29/12/2019 17:22:40,3
Allier,30/12/2019 08:18:36,30/12/2019 17:29:43,3
Allier,13/06/2020 07:00:00,13/06/2020 07:20:00,4
Allier,13/06/2020 09:00:00,13/06/2020 09:20:00,4
Allier,13/06/2020 11:00:00,13/06/2020 11:20:00,4
Allier,13/06/2020 13:00:00,13/06/2020 13:20:00,4
Allier,13/06/2020 15:00:00,13/06/2020 15:20:00,4
Allier,13/06/2020 17:00:00,13/06/2020 17:20:00,4
Allier,13/06/2020 19:00:00,13/06/2020 19:20:00,4
Allier,13/06/2020 21:00:00,13/06/2020 21:20:00,4
Allier,14/06/2020 08:00:00,14/06/2020 08:20:00,4
Allier,14/06/2020 09:00:00,14/06/2020 09:20:00,4
Allier,14/06/2020 10:00:00,14/06/2020 10:20:00,4
Allier,14/06/2020 11:00:00,14/06/2020 11:20:00,4
Allier,14/06/2020 12:00:00,14/06/2020 12:20:00,4
Allier,14/06/2020 13:00:00,14/06/2020 13:20:00,4
Allier,14/06/2020 14:00:00,14/06/2020 14:20:00,4
Allier,14/06/2020 15:00:00,14/06/2020 15:20:00,4
Allier,14/06/2020 16:00:00,14/06/2020 16:20:00,4
Allier,14/06/2020 17:00:00,14/06/2020 17:20:00,4
Allier,14/06/2020 18:00:00,14/06/2020 18:20:00,4
Allier,14/06/2020 19:00:00,14/06/2020 19:20:00,4
Allier,14/06/2020 20:00:00,14/06/2020 20:20:00,4
Allier,14/06/2020 21:00:00,14/06/2020 21:20:00,4
Allier,15/06/2020 08:00:00,15/06/2020 08:20:00,4
Allier,15/06/2020 09:00:00,15/06/2020 09:20:00,4
Allier,15/06/2020 10:00:00,15/06/2020 10:20:00,4
Allier,15/06/2020 11:00:00,15/06/2020 11:20:00,4
Allier,15/06/2020 12:00:00,15/06/2020 12:20:00,4
Allier,15/06/2020 13:00:00,15/06/2020 13:20:00,4
Allier,15/06/2020 14:00:00,15/06/2020 14:20:00,4
Allier,15/06/2020 15:00:00,15/06/2020 15:20:00,4
Allier,15/06/2020 16:00:00,15/06/2020 16:20:00,4
Allier,15/06/2020 17:00:00,15/06/2020 17:20:00,4
Allier,15/06/2020 18:00:00,15/06/2020 18:20:00,4
Allier,15/06/2020 19:00:00,15/06/2020 19:20:00,4
Allier,15/06/2020 20:00:00,15/06/2020 20:20:00,4
Allier,15/06/2020 21:00:00,15/06/2020 21:20:00,4
Allier,16/06/2020 09:00:00,16/06/2020 09:20:00,4
Allier,16/06/2020 11:00:00,16/06/2020 11:20:00,4
Allier,16/06/2020 13:00:00,16/06/2020 13:20:00,4
Allier,16/06/2020 15:00:00,16/06/2020 15:20:00,4
Allier,16/06/2020 17:00:00,16/06/2020 17:20:00,4
Allier,16/06/2020 19:00:00,16/06/2020 19:20:00,4
Allier,16/06/2020 21:00:00,16/06/2020 21:20:00,4
Allier,17/06/2020 09:00:00,17/06/2020 09:20:00,4
Allier,17/06/2020 11:00:00,17/06/2020 11:20:00,4
Allier,17/06/2020 13:00:00,17/06/2020 13:20:00,4
Allier,17/06/2020 15:00:00,17/06/2020 15:20:00,4
Allier,17/06/2020 17:00:00,17/06/2020 17:20:00,4
Allier,17/06/2020 19:00:00,17/06/2020 19:20:00,4
Allier,17/06/2020 21:00:00,17/06/2020 21:20:00,4
