Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  08:57:01 1.41  0.25  69.82  0.99  5.16 -2.44  0  1  1  1 
23-Nov-2007  08:57:06 0.86  0.18  70.45  2.36  6.57 -3.22  0  0  0  1 
23-Nov-2007  08:57:14 0.55  0.12  71.91  1.05  5.56 -2.54  0  0  0  0 
23-Nov-2007  08:57:15 0.58  0.11  68.38  1.86  6.02 -2.52  0  0  0  0 
23-Nov-2007  08:57:25 2.47  0.19  74.64  1.70  5.72 -3.56  0  0  0  1 
23-Nov-2007  08:57:30 3.00  0.28  70.02  1.59  5.96 -2.56  0  0  0  1 
23-Nov-2007  08:57:32 0.82  0.18  67.29  1.73  5.43 -1.89  0  0  0  0 
23-Nov-2007  08:57:36 1.70  0.08  72.17  1.03  7.85 -4.96  0  0  0  1 
23-Nov-2007  08:57:41 1.82  0.05  68.92  0.51  6.64  1.72  0  0  0  1 
23-Nov-2007  08:57:44 0.87  0.08  68.45  1.50  6.00 -2.54  0  0  0  0 
23-Nov-2007  08:57:45 0.78  0.14  69.95  2.55  8.35 -4.80  0  1  0  1 
23-Nov-2007  08:57:46 0.78  0.23  59.27  0.83  7.39 -2.47  0  0  0  1 
23-Nov-2007  08:57:56 1.36  0.09  66.21  1.35  6.41 -2.61  0  0  0  0 
23-Nov-2007  08:58:00 0.90  0.15  66.69  0.69  6.75  1.68  0  0  0  1 
23-Nov-2007  08:58:01 1.09  0.23  64.52  0.92  7.60 -3.25  0  0  0  0 
23-Nov-2007  08:58:04 0.57  0.08  69.90  1.00  6.75 -3.67  0  0  0  0 
23-Nov-2007  08:58:05 1.74  0.03  70.48  0.31  8.26  2.90  0  0  0  1 
23-Nov-2007  08:58:07 2.07  0.32  65.15  1.77  4.63 -1.18  0  0  0  0 
23-Nov-2007  08:58:13 0.66  0.12  70.04  2.28  7.58 -3.94  0  0  0  1 
23-Nov-2007  08:58:17 1.16  0.15  68.81  1.39  6.68 -3.02  0  1  0  1 
23-Nov-2007  08:58:19 0.72  0.07  71.49  1.79  6.47 -3.19  0  0  1  1 
23-Nov-2007  08:58:25 2.28  0.15  71.16  1.57  11.46 -7.18  0  0  0  1 
23-Nov-2007  08:58:29 0.83  0.08  68.52  0.84  9.56  3.02  0  1  0  1 
23-Nov-2007  08:58:34 1.14  0.11  69.05  0.29  7.09  2.07  0  0  0  0 
23-Nov-2007  08:58:41 1.11  0.14  69.63  3.12  7.55 -3.71  0  0  0  0 
23-Nov-2007  08:58:46 10.97  0.64  63.85  3.13  5.49 -1.94  1  0  0  1 
23-Nov-2007  08:58:48 0.98  0.25  66.92  2.60  12.66 -6.72  0  0  0  0 
23-Nov-2007  08:58:49 0.81  0.11  73.61  1.55  7.35 -4.97  0  0  0  1 
23-Nov-2007  08:58:52 3.01  0.13  71.46  1.55  6.73 -3.65  0  0  0  1 
23-Nov-2007  08:58:55 1.01  0.08  72.11  1.05  9.79 -6.73  0  0  0  1 
23-Nov-2007  08:58:56 0.94  0.15  71.00  1.30  8.72 -5.10  0  0  0  1 
23-Nov-2007  08:58:55 0.78  0.58  62.12  1.11  9.41 -4.21  0  0  0  0 
