Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  09:56:46 1.92  0.08  72.05  0.60  6.49  1.92  0  0  0  0 
23-Nov-2007  09:56:53 0.53  0.10  71.93  2.59  11.02 -6.53  0  0  0  0 
23-Nov-2007  09:56:54 0.60  0.14  72.99  0.72  10.13  3.87  0  0  0  0 
23-Nov-2007  09:56:54 1.75  0.13  73.06  0.74  7.02  2.34  0  1  0  1 
23-Nov-2007  09:57:00 1.22  0.23  65.46  1.43  6.25 -2.22  0  0  0  0 
23-Nov-2007  09:57:03 3.44  0.18  70.91  0.73  11.51  3.71  0  1  1  0 
23-Nov-2007  09:57:02 1.97  0.13  71.15  0.96  8.35 -4.04  1  0  1  1 
23-Nov-2007  09:57:20 0.78  0.03  69.73  1.78  6.99 -3.29  0  0  0  0 
23-Nov-2007  09:57:24 0.64  0.21  69.01  2.59  6.45 -2.45  0  0  0  0 
23-Nov-2007  09:57:34 0.93  0.10  71.70  0.85  8.50  2.86  0  0  0  0 
23-Nov-2007  09:57:35 0.80  0.06  73.23  1.14  8.06 -4.94  0  0  0  0 
23-Nov-2007  09:57:36 0.31  0.07  74.27  1.70  13.42 -9.95  0  0  0  0 
23-Nov-2007  09:57:40 0.58  0.09  74.02  0.35  9.25  3.81  0  0  0  1 
23-Nov-2007  09:57:44 0.69  0.16  60.77  1.02  6.72 -2.25  0  0  0  0 
23-Nov-2007  09:57:55 2.64  0.22  71.01  2.17  6.68 -3.33  0  0  0  0 
23-Nov-2007  09:58:01 0.92  0.07  70.95  1.01  6.05 -2.82  0  0  0  0 
23-Nov-2007  09:58:11 1.45  0.18  68.08  1.16  6.05 -2.47  0  0  0  0 
23-Nov-2007  09:58:19 0.77  0.09  71.97  0.34  32.50  12.80  0  0  0  0 
23-Nov-2007  09:58:20 2.84  0.14  70.78  1.56  7.83 -3.97  0  0  0  0 
